genome,Sample,Sample feature,FACS mode,Estimated cell diameter (μm),WGA-X Cp (h),Raw read count,Assembly size (Mbp),Final contigs count,Max contig length,GC content (%),Genome completeness (%),Estimated genome size (Mbp)
AG-333-J09,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.287442735,354401,367488,48,45126,29,19,
AG-333-J10,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.302334924,601433,73585,11,16047,52,0,
AG-333-J11,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.752288953,3504359,1359902,92,84689,46,40,
AG-333-J13,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.703371248,3394048,1001528,30,120110,32,58,1.73
AG-333-J14,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.070577175,2657601,618966,49,78602,30,48,
AG-333-J15,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.909617369,2898953,320604,35,36130,47,13,
AG-333-J16,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.737378079,3033877,1023948,112,33610,42,8,
AG-333-J17,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.724850403,4662804,896594,47,125679,29,73,1.23
AG-333-J18,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.098905212,568338,72101,4,26766,34,4,
AG-333-J19,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.883310292,2552074,361631,39,35610,30,16,
AG-333-J20,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.095225932,439861,40042,4,16526,33,0,
AG-333-J21,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,3.190851978,489452,46559,14,4431,35,4,
AG-333-J22,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.724058568,3007820,416115,38,44369,35,21,
AG-333-J23,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.982134176,2620504,330404,58,27646,35,12,
AG-333-K03,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.99159042,342949,46770,10,9938,28,0,
AG-333-K04,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.5062924,366186,607958,51,107941,33,29,
AG-333-K05,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.55585246,302305,315002,38,25613,30,21,
AG-333-K06,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.821872844,2499310,1006550,33,184788,29,85,1.18
AG-333-K07,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.829040064,2508024,1112981,41,244278,31,75,1.48
AG-333-K08,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.204333382,383901,315899,43,36260,31,21,
AG-333-K09,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.890317172,2607168,804374,50,99314,32,55,1.46
AG-333-K10,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.154110661,356351,542363,55,45110,29,38,
AG-333-K11,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.170875683,399554,189063,14,25738,36,22,
AG-333-K13,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.541641363,259970,337902,37,31025,34,16,
AG-333-K14,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.037958996,3501570,655114,54,60532,30,40,
AG-333-K15,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.334972428,309194,140355,24,17883,31,8,
AG-333-K16,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.866702403,4091213,920230,74,81311,48,35,
AG-333-K17,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.762733193,341855,724226,68,47329,29,22,
AG-333-K18,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,3.136749673,516031,68709,20,6339,36,4,
AG-333-K19,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.812876563,2426194,848095,47,110962,29,72,1.18
AG-333-K20,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.261131015,396332,75421,12,14860,35,0,
AG-333-K22,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.612361723,2494627,1097636,42,121689,29,61,1.8
AG-333-K23,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.027033826,3685632,365997,59,20460,42,9,
AG-333-L02,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.359490629,486885,304954,35,38948,30,22,
AG-333-L03,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.068224863,5845202,506690,64,26694,31,37,
AG-333-L04,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,3.979795982,355100,38084,13,5223,29,8,
AG-333-L05,SWC-04,"DCM, <1% PAR",Syto9-Prok,0.76,1.80264553,3495354,1154662,93,83237,53,18,
AG-333-L06,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,3.348316153,439125,422499,32,62638,32,13,
AG-333-L07,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.729870063,404919,192422,33,12601,35,12,
AG-333-L09,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.61003932,452870,181580,26,16355,32,11,
AG-333-L10,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.286789532,340859,296033,33,41314,30,30,
AG-333-L11,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.726301158,3470845,1132333,26,196428,32,87,1.3
AG-333-L13,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.833648943,4255059,583863,48,50525,31,28,
AG-333-L14,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.499823639,470260,121255,20,18746,32,4,
AG-333-L15,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.685981528,3449473,1268314,44,181013,36,56,2.26
AG-333-L16,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,3.254926552,434077,25832,8,4272,35,0,
AG-333-L17,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.851640973,534397,64684,15,9037,35,0,
AG-333-L18,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.189764883,410317,220057,28,31126,29,8,
AG-333-L19,SWC-04,"DCM, <1% PAR",Syto9-Prok,0.59,2.159517278,529688,356234,43,19174,36,22,
AG-333-L20,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.835348505,3029503,1001326,43,101730,34,75,1.34
AG-333-L21,SWC-04,"DCM, <1% PAR",Syto9-Prok,0.53,2.093905615,3003085,561133,75,33042,35,27,
AG-333-L23,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.103721653,4258942,1390351,108,75253,58,53,2.62
AG-333-M02,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.994380361,23613295,279136,39,23985,59,0,
AG-333-M03,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.915266797,6293939,1016178,30,187166,29,85,1.2
AG-333-M04,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.156425392,349521,271964,34,37373,30,19,
AG-333-M05,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.21855023,383177,674818,47,48409,33,42,
AG-333-M06,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.827445846,2996394,889666,33,111138,29,79,1.13
AG-333-M07,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.473220983,360179,287145,27,40353,32,14,
AG-333-M08,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.334814917,332849,290019,44,19707,31,23,
AG-333-M09,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.374739744,339711,99874,16,16575,29,4,
AG-333-M10,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.058805634,2367530,822153,71,96345,29,45,
AG-333-M11,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.739839277,385579,133789,22,17832,32,2,
AG-333-M13,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.391326978,395671,252934,22,34960,31,29,
AG-333-M14,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,3.037291329,450097,68612,17,6231,35,5,
AG-333-M15,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.533939086,405793,624196,35,114505,35,32,
AG-333-M16,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.951106086,2094011,529395,37,64496,29,51,1.04
AG-333-M17,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.739567578,2907490,942367,30,132546,33,68,1.39
AG-333-M18,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.576181418,538026,477449,30,54083,35,38,
AG-333-M19,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.614345422,379260,463393,43,34393,29,21,
AG-333-M20,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.854349724,2387867,670404,48,65819,32,37,
AG-333-M23,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.604219132,438742,112648,32,7400,34,0,
AG-333-N02,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,3.242299783,449468,66502,20,7037,31,8,
AG-333-N03,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.418875441,390515,192850,33,20582,31,18,
AG-333-N04,SWC-04,"DCM, <1% PAR",Syto9-Prok,0.52,4.039456648,566263,42832,14,5065,36,0,
AG-333-N05,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.314884274,474290,318674,42,29584,35,17,
AG-333-N06,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.965874858,3738890,904564,47,85405,28,68,1.33
AG-333-N07,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.643967994,313876,254023,47,14505,31,23,
AG-333-N08,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.392780095,524857,421134,37,48816,33,24,
AG-333-N09,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.396946557,193308,76457,15,12031,28,0,
AG-333-N10,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.102546263,2920379,639514,50,74388,32,46,
AG-333-N11,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.898935134,3588379,732491,56,86382,41,36,
AG-333-N13,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.607191476,373205,526558,50,46328,30,51,1.03
AG-333-N14,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.938952883,3459378,1170461,78,83216,38,50,2.34
AG-333-N15,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.783060032,2078595,993623,51,122347,28,78,1.27
AG-333-N16,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.249376818,461114,104663,12,36462,32,4,
AG-333-N17,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.17802241,370248,179431,17,40452,31,15,
AG-333-N18,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.141997873,580411,257033,36,20627,36,14,
AG-333-N19,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.820350244,2441124,966932,57,65437,30,60,1.61
AG-333-N20,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.761557475,2812257,1205722,92,97116,32,67,1.8
AG-333-N21,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.108151655,353492,302672,32,39194,30,13,
AG-333-N22,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.767974347,565059,77583,22,6507,45,0,
AG-333-N23,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.646481958,432796,48770,12,8103,36,0,
AG-333-O02,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.649991983,6455907,1437581,69,209539,37,66,2.18
AG-333-O03,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.957852979,8341975,703860,59,62875,29,37,
AG-333-O04,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.823972493,10041016,900177,57,60883,35,55,1.64
AG-333-O05,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.899775374,6817869,807962,35,101799,29,76,1.06
AG-333-O06,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.870860867,423579,69752,17,7209,34,0,
AG-333-O07,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.887204687,2683950,881172,79,59109,31,58,1.52
AG-333-O08,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.572224133,344353,73971,13,18770,31,5,
AG-333-O10,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.953142231,3062876,379578,31,46871,32,18,
AG-333-O11,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.866164371,3505025,863252,59,58400,32,61,1.42
AG-333-O13,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.801840769,2817422,728786,52,79536,31,49,
AG-333-O14,SWC-04,"DCM, <1% PAR",Syto9-Prok,0.58,1.783850853,4200786,437622,41,69231,52,0,
AG-333-O15,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.935330498,3345428,756910,69,44460,30,40,
AG-333-O16,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.940538764,3584646,612602,94,28966,35,32,
AG-333-O17,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.526652394,389550,132679,31,9740,35,4,
AG-333-O18,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.802371347,2590246,730883,55,46743,30,52,1.41
AG-333-O20,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.846034447,1990448,530254,56,60231,28,51,1.04
AG-333-O21,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.722182158,2416851,556930,43,77077,29,50,1.11
AG-333-O22,SWC-04,"DCM, <1% PAR",Syto9-Prok,0.56,2.066584276,412299,142855,32,10380,35,12,
AG-333-O23,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.932008054,2854061,508898,61,25532,29,30,
AG-333-P01,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.132590036,363728,347171,52,37852,32,15,
AG-333-P02,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.606940294,8540920,1113170,30,312950,33,64,1.74
AG-333-P03,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.11418925,475128,198650,17,100893,35,0,
AG-333-P05,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.861592266,3349852,1011257,58,58468,29,72,1.4
AG-333-P06,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.153671672,356782,443992,45,37722,28,49,
AG-333-P07,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.784746096,2345862,996608,86,109069,32,40,
AG-333-P08,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.758802132,2306763,919904,37,229372,29,80,1.15
AG-333-P09,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.716112277,3441548,1194977,67,145663,30,58,2.06
AG-333-P10,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.825778489,2279307,551198,34,87505,32,2,
AG-333-P11,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.1983909,412088,466112,66,23452,31,18,
AG-333-P13,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.770938707,2589913,886159,36,102846,30,78,1.14
AG-333-P14,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.722756538,2704538,793433,46,96947,30,68,1.17
AG-333-P15,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.797115238,3124615,215607,15,41344,35,9,
AG-333-P16,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.740066654,3123195,815384,38,93486,32,44,
AG-333-P17,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.94056944,2426779,578343,49,41753,30,25,
AG-333-P18,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.028739746,2266616,501378,83,21924,35,14,
AG-333-P19,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,2.116454709,344364,168261,23,17614,29,6,
AG-333-P22,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.71066781,2863513,534750,25,52213,29,42,
AG-333-P23,SWC-04,"DCM, <1% PAR",Syto9-Prok,<0.5,1.708425405,6479333,922224,69,68625,31,53,1.74
AG-337-A03,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.940932807,11618518,1076218,76,73885,56,39,
AG-337-A05,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.75108539,4528548,997808,46,108587,34,50,2
AG-337-A06,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.452764734,322721,610870,36,99303,32,42,
AG-337-A07,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.964080088,2862436,748872,49,79942,28,45,
AG-337-A08,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.251190462,386387,460680,49,51432,30,34,
AG-337-A09,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.393821909,370358,444434,42,41569,30,23,
AG-337-A10,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.8705016,2675332,945531,38,207279,29,74,1.28
AG-337-A11,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.327259743,562827,222239,31,17989,41,14,
AG-337-A13,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.052280304,373603,431506,29,119975,30,41,
AG-337-A14,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.974596666,3147035,854052,52,79935,30,45,
AG-337-A15,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.953398504,2993931,1019687,53,97859,29,48,
AG-337-A16,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.899462094,2931710,795906,24,141399,29,66,1.21
AG-337-A17,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.9771966,3618016,890860,56,119644,30,56,1.59
AG-337-A18,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.236275372,354532,224937,30,25162,30,8,
AG-337-A21,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.764828805,3731899,1348752,92,98847,51,55,2.45
AG-337-A22,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.77954014,3107288,820346,47,77263,30,57,1.44
AG-337-A23,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.698841826,2759361,872558,41,125100,30,77,1.13
AG-337-B03,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.701218863,11581332,1369242,38,175438,29,93,1.47
AG-337-B04,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.012739196,13199049,1132642,52,105901,30,78,1.45
AG-337-B05,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.148872396,283330,196033,25,25416,33,14,
AG-337-B06,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.195387735,261638,149011,13,47036,30,2,
AG-337-B07,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.952191961,3314897,789351,60,60024,30,49,
AG-337-B08,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.836326028,2555469,1102485,48,98032,29,74,1.49
AG-337-B09,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.324086594,418388,264156,33,23536,31,10,
AG-337-B10,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.332921318,342634,300869,35,25543,29,23,
AG-337-B13,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,0.7,1.740733769,3510283,2106729,74,277122,43,57,3.7
AG-337-B14,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.184417137,270646,382158,39,40907,55,9,
AG-337-B16,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.751829442,3966887,1114958,15,315945,33,66,1.69
AG-337-B17,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.935044069,4079729,713424,50,66172,34,38,
AG-337-B18,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.91376506,286973,406820,25,87790,34,19,
AG-337-B22,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.257621317,487637,358844,37,41803,34,22,
AG-337-B23,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.119738553,346559,293871,37,19836,31,17,
AG-337-C02,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.708179207,2955071,896114,47,98343,31,50,1.79
AG-337-C03,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.224629771,287806,230357,32,19460,30,9,
AG-337-C04,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.307790981,360575,493541,44,58370,34,27,
AG-337-C05,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.453452001,259760,32256,5,11913,31,4,
AG-337-C06,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.148349749,270984,833403,71,89410,31,32,
AG-337-C07,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.962934448,4053173,722521,45,55044,29,69,1.05
AG-337-C08,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.792835152,4199504,924992,46,92915,29,79,1.17
AG-337-C09,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.780733252,4322194,1208622,44,125919,29,77,1.57
AG-337-C10,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.054776112,254925,224179,18,39638,31,16,
AG-337-C11,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.381396415,355031,267910,39,23318,31,8,
AG-337-C13,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.929796752,3314525,737563,39,88006,29,69,1.07
AG-337-C14,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.877433219,3335523,1115346,38,128430,30,86,1.3
AG-337-C15,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.482640665,344622,59372,6,21016,29,4,
AG-337-C16,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.843727434,318754,91414,20,8849,51,2,
AG-337-C17,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.046396368,443890,534400,54,41375,30,34,
AG-337-C18,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.070010272,450955,306920,46,19018,30,32,
AG-337-C19,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.989355466,3044154,1027347,40,142529,29,88,1.17
AG-337-C20,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.126499605,376925,319901,35,46885,29,27,
AG-337-C21,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.914270031,3141102,554039,31,81660,30,50,1.11
AG-337-C22,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.622424,3174978,903939,41,108237,29,64,1.41
AG-337-D02,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.91890327,2865805,905161,60,66372,31,48,
AG-337-D03,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.961313253,3371308,833152,38,141804,34,44,
AG-337-D05,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.287773368,254841,428340,41,41958,30,30,
AG-337-D06,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.861182848,4689156,755949,43,84680,33,44,
AG-337-D07,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.48438263,291716,27628,5,11063,33,0,
AG-337-D08,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.801695026,3832097,1429766,31,210888,29,86,1.66
AG-337-D09,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.471043783,282847,343891,31,78569,30,0,
AG-337-D10,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.132611005,221943,372810,27,42081,33,23,
AG-337-D13,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.434712694,298496,335037,46,33443,30,4,
AG-337-D14,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.775750034,318777,390784,27,61583,33,21,
AG-337-D15,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.593553521,296223,260102,29,28485,30,15,
AG-337-D16,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.797983225,3290723,1204976,38,274521,29,86,1.4
AG-337-D17,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.753925253,3584473,1061156,27,142378,29,87,1.22
AG-337-D18,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.532546788,360524,568491,71,39425,30,28,
AG-337-D19,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.897256752,3230900,928836,62,89977,30,74,1.26
AG-337-D20,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.968656946,3121118,841961,46,86044,34,51,1.65
AG-337-D21,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.130477042,505077,86853,17,10103,32,5,
AG-337-D22,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.160671828,492717,413634,41,53603,31,26,
AG-337-D23,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.618015448,3410746,666377,28,120248,29,57,1.17
AG-337-E02,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.212952575,324536,174192,27,23270,28,4,
AG-337-E03,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.993990603,3464224,435144,49,34889,33,24,
AG-337-E04,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.206067371,343245,451444,42,59743,30,49,
AG-337-E05,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.036672645,385405,553409,36,64680,31,34,
AG-337-E06,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.096636788,310463,303183,32,25364,31,22,
AG-337-E07,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.691590256,3774326,1110254,35,147814,33,82,1.35
AG-337-E09,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,3.631922939,262889,24932,8,4450,29,0,
AG-337-E11,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.68431935,3361922,1052651,31,129925,33,59,1.78
AG-337-E13,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.015436947,3130957,780862,49,104057,30,53,1.47
AG-337-E14,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.017158458,3391953,1945011,89,172272,37,74,2.63
AG-337-E15,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,1.789196656,3285528,1014038,30,221179,30,93,1.09
AG-337-E16,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.577190307,296472,485689,31,76768,30,28,
AG-337-E17,SWC-05,"Mixed layer, 50% PAR",Syto9-Prok,<0.5,2.105443869,408555,312426,41,30483,30,17,
