genome	system	instances
AH-991-D11	ShosTA	1
AH-991-D11	RM	2
AH-991-D16	BREX	1
AH-991-E04	RM	1
AH-991-E10	AbiU	1
AH-991-E11	Tiamat	1
AH-991-E17	RM	1
AH-991-F07	AbiU	1
AH-991-F22	PD-Lambda-1	1
AH-991-G03	DISARM	1
AH-991-G05	AbiU	1
AH-991-G05	RM	2
AH-991-G20	AbiU	1
AH-991-I05	Zorya	1
AH-991-I07	Pycsar	1
AH-991-I10	pAgo	1
AH-991-I10	RM	4
AH-991-I17	Hhe	1
AH-991-I18	Druantia	1
AH-991-I18	RM	1
AH-991-I20	PD-T4-3	1
AH-991-J08	AbiU	1
AH-991-J14	Viperin	1
AH-991-J18	AbiU	1
AH-991-J18	RM	1
AH-991-J20	AbiU	1
AH-991-K05	RM	1
AH-991-K18	dXTPase	1
AH-991-K20	AbiU	1
AH-991-K23	AbiJ	1
AH-991-L06	AbiU	1
AH-991-L09	RM	2
AH-991-L15	dXTPase	1
AH-991-L15	PsyrTA	1
AH-991-L15	Dpd	1
AH-991-L15	RM	1
AH-991-L21	RM	1
AH-991-M05	RM	1
AH-991-M06	AbiU	1
AH-991-M06	RM	2
AH-991-M10	Retron	1
AH-991-M10	RM	2
AH-991-M18	AbiU	1
AH-991-M18	RM	1
AH-991-M19	AbiU	1
AH-991-M20	RM	1
AH-991-N04	RM	1
AH-991-O02	dXTPase	1
AH-991-O08	RM	1
AH-991-O14	Eleos	1
AH-991-O14	RM	1
AH-991-P10	dXTPase	1
AM-118-A07	RM	1
AM-118-A10	Dnd	1
AM-118-A11	RM	1
AM-118-A16	RM	1
AM-118-B05	RM	1
AM-118-B14	AbiU	1
AM-118-C04	RM	1
AM-118-C09	RM	1
AM-118-C15	Dpd	1
AM-118-D06	RM	2
AM-118-D16	RM	1
AM-118-D19	Mokosh	1
AM-118-D20	AbiU	1
AM-118-D20	RM	1
AM-118-D21	AbiU	1
AM-118-D21	RM	1
AM-118-E02	AbiU	1
AM-118-E02	RM	2
AM-118-E09	AbiU	1
AM-118-E09	RM	1
AM-118-E13	AbiU	1
AM-118-E13	RM	1
AM-118-E17	RM	2
AM-118-E20	RM	2
AM-118-F02	AbiU	1
AM-118-F02	RM	2
AM-118-F07	RM	1
AM-118-F08	RM	1
AM-118-F09	Druantia	1
AM-118-F09	RM	1
AM-118-F11	Eleos	1
AM-118-F13	Zorya	1
AM-118-F13	Retron	1
AM-118-F13	RM	1
AM-118-F13	Cas	1
AM-118-F15	AbiU	1
AM-118-G02	PsyrTA	1
AM-118-G09	Cas	1
AM-118-G22	ShosTA	1
AM-118-G23	AbiU	1
AM-118-I06	RM	1
AM-118-I09	AbiU	1
AM-118-I14	AbiU	1
AM-118-I14	RM	2
AM-118-I16	RM	1
AM-118-I19	AbiU	1
AM-118-I21	PsyrTA	1
AM-118-I21	RM	2
AM-118-J02	DarTG	1
AM-118-J06	dXTPase	1
AM-118-J23	RM	1
AM-118-K06	RM	1
AM-118-K09	Shedu	1
AM-118-K09	Pycsar	1
AM-118-K09	RM	3
AM-118-K11	RM	1
AM-118-L02	dXTPase	1
AM-118-L06	RM	1
AM-118-L07	RM	1
AM-118-L15	AbiU	1
AM-118-L15	RM	2
AM-118-L16	RM	1
AM-118-L17	RM	2
AM-118-L19	RM	1
AM-118-L22	AbiU	1
AM-118-L22	RM	1
AM-118-L23	DISARM	1
AM-118-L23	AbiU	1
AM-118-M10	AbiU	1
AM-118-M10	RM	1
AM-118-M18	RM	2
AM-118-M20	RM	1
AM-118-M21	DarTG	1
AM-118-M22	RM	2
AM-118-N02	RM	1
AM-118-N20	RM	1
AM-118-N22	RM	1
AM-118-O04	RM	2
AM-118-O06	AbiU	1
AM-118-O08	AbiU	1
AM-118-O08	ShosTA	1
AM-118-O08	RM	2
AM-118-O11	RM	1
AM-118-O18	ShosTA	1
AM-118-O20	AbiU	1
AM-118-P03	PsyrTA	1
AM-118-P03	PD-Lambda-1	1
AM-118-P09	Zorya	1
AM-118-P13	AbiU	1
AM-118-P16	AbiU	1
AM-118-P20	RM	1
AM-121-A05	RM	2
AM-121-A13	RM	1
AM-121-A22	dXTPase	1
AM-121-B03	RM	2
AM-121-B07	RM	2
AM-121-B08	RM	1
AM-121-B21	AbiU	1
AM-121-C05	RM	1
AM-121-C06	AbiU	1
AM-121-C08	AbiU	1
AM-121-C09	Lamassu	1
AM-121-C09	RM	2
AM-121-C10	RM	1
AM-121-C16	AbiU	1
AM-121-C18	AbiU	1
AM-121-C19	DISARM	1
AM-121-C19	AbiU	1
AM-121-D03	RM	1
AM-121-D09	AbiU	1
AM-121-D14	RM	1
AM-121-D16	AbiU	1
AM-121-D16	RM	1
AM-121-E04	AbiU	1
AM-121-E10	RM	1
AM-121-E14	AbiU	1
AM-121-E15	RM	2
AM-121-E17	Viperin	1
AM-121-E17	Mokosh	1
AM-121-E17	RM	2
AM-121-E19	RM	1
AM-121-E20	AbiU	1
AM-121-E20	RM	1
AM-121-F07	AbiU	1
AM-121-F07	RM	2
AM-121-F10	AbiU	1
AM-121-F14	RM	1
AM-121-F18	RM	2
AM-280-A07	AbiU	1
AM-280-A08	Lamassu	1
AM-280-A08	Septu	1
AM-280-A08	RM	2
AM-280-A11	AbiU	1
AM-280-A11	RM	2
AM-280-A13	RM	1
AM-280-A15	RM	1
AM-280-A19	AbiU	1
AM-280-A22	RM	2
AM-280-B06	RM	1
AM-280-B09	Lamassu	1
AM-280-B09	RM	1
AM-280-B10	AbiU	1
AM-280-B11	RM	1
AM-280-B19	PsyrTA	1
AM-280-B19	RM	1
AM-280-B22	RM	1
AM-280-C09	dXTPase	1
AM-280-C09	ShosTA	1
AM-280-C09	PfiAT	1
AM-280-C09	RM	1
AM-280-C15	BREX	1
AM-280-C16	PD-Lambda-1	1
AM-280-C19	AVAST	1
AM-280-C19	RM	1
AM-280-D04	AbiU	1
AM-280-D04	RM	2
AM-280-D05	RM	1
AM-280-D07	AbiU	1
AM-280-D07	RM	1
AM-280-D09	RM	2
AM-280-D13	AbiU	1
AM-280-D13	RM	1
AM-280-D14	PD-T7-2	1
AM-280-D14	RM	3
AM-280-D14	Cas	1
AM-121-F19	Tiamat	1
AM-121-F19	RM	3
AM-121-F22	PsyrTA	1
AM-121-F22	RM	2
AM-121-G03	AbiU	1
AM-121-G07	Septu	1
AM-121-G07	SoFic	1
AM-121-G07	RM	4
AM-121-G09	AbiU	1
AM-121-G15	AbiU	1
AM-121-G17	Dnd	1
AM-121-G20	AbiU	1
AM-121-G20	RM	2
AM-121-I07	ShosTA	1
AM-121-I08	AbiU	1
AM-121-I13	Dnd	1
AM-121-I18	RM	1
AM-121-I21	RM	1
AM-121-I22	AbiU	1
AM-121-J02	Lamassu	1
AM-121-J02	RM	2
AM-121-J03	Dpd	2
AM-121-J03	RM	2
AM-121-J04	AbiU	1
AM-121-J04	RM	1
AM-121-J14	AbiU	1
AM-121-J15	AbiU	1
AM-121-J19	RM	1
AM-121-J22	AbiU	1
AM-121-J22	ShosTA	1
AM-121-K05	Mokosh	1
AM-121-K05	RM	1
AM-121-K07	RM	1
AM-121-K09	RL	1
AM-121-K09	Dpd	1
AM-121-K17	RM	1
AM-121-K20	AbiU	1
AM-121-L09	AbiU	1
AM-121-L09	RM	1
AM-121-L10	Mokosh	1
AM-121-L10	RM	1
AM-121-L15	dXTPase	1
AM-121-L15	SoFic	2
AM-121-L15	RM	2
AM-121-L15	Cas	1
AM-121-L18	RM	2
AM-121-L21	DarTG	1
AM-121-L23	RM	2
AM-121-M03	RM	1
AM-121-M07	AbiU	1
AM-121-M11	AbiU	1
AM-121-M14	AbiU	1
AM-121-M14	RM	2
AM-121-M19	RM	1
AM-121-M23	RM	1
AM-121-N02	AbiU	1
AM-121-N05	RM	1
AM-121-N06	ShosTA	1
AM-121-N06	BREX	1
AM-121-N06	RM	2
AM-121-N11	AbiU	1
AM-121-N11	RM	1
AM-121-N23	RM	1
AM-121-O03	RM	1
AM-121-O03	Cas	1
AM-121-O05	AbiU	1
AM-121-O05	Cas	1
AM-121-O07	RM	2
AM-121-O15	AbiU	1
AM-121-O15	RM	1
AM-121-P04	AbiU	1
AM-121-P04	RM	2
AM-121-P06	RM	2
AM-121-P07	RM	2
AM-121-P10	Zorya	2
AM-121-P10	RM	1
AM-121-P11	DISARM	1
AM-121-P15	ShosTA	1
AM-121-P15	RM	1
AM-121-P18	RM	2
AM-124-A06	AbiU	1
AM-124-A08	Cas	1
AM-124-A15	SoFic	1
AM-124-A15	RM	4
AM-124-A18	RM	1
AM-124-A23	Lamassu	1
AM-124-A23	Viperin	1
AM-124-B03	AbiU	1
AM-124-B07	ShosTA	1
AM-124-B07	RM	1
AM-124-B09	AbiU	1
AM-124-B09	RM	3
AM-124-B19	RM	1
AM-124-C07	Lamassu	1
AM-124-C11	RM	2
AM-124-C15	RM	1
AM-124-C15	Cas	2
AM-124-C17	RM	2
AM-124-C18	RM	2
AM-124-C22	Cas	1
AM-124-C23	RM	1
AM-124-D02	RM	1
AM-124-D05	RM	1
AM-124-D09	RM	2
AM-124-D16	RM	2
AM-124-D22	AbiU	2
AM-124-D23	RM	1
AM-124-E04	RM	2
AM-124-E07	PfiAT	1
AM-124-E07	RM	1
AM-124-E07	Cas	2
AM-124-E11	RM	2
AM-124-E17	AbiU	1
AM-124-E17	RM	1
AM-124-E20	AbiU	1
AM-124-E20	ShosTA	1
AM-124-E23	RM	1
AM-124-F02	RM	1
AM-124-F03	BREX	1
AM-124-F03	RM	1
AM-124-F19	RM	1
AM-124-F20	SoFic	1
AM-124-G06	Mokosh	1
AM-124-G06	RM	3
AM-124-G20	AbiU	1
AM-124-G22	PfiAT	1
AM-124-G22	RM	1
AM-124-G22	Cas	2
AM-124-I02	AbiU	1
AM-124-I03	RM	1
AM-124-I09	Lamassu	1
AM-124-I09	AbiE	2
AM-124-I09	PD-T7-2	1
AM-124-I09	Dpd	1
AM-124-I09	SoFic	1
AM-124-I09	RM	2
AM-124-I11	Hhe	1
AM-124-I11	dXTPase	1
AM-124-I14	AbiU	1
AM-124-I15	RM	1
AM-124-I16	AbiU	1
AM-124-I16	RM	1
AM-124-I17	RM	1
AM-124-J11	RM	3
AM-124-J15	RM	1
AM-124-J23	RosmerTA	1
AM-124-J23	SoFic	1
AM-124-K05	RM	2
AM-124-K19	Cas	1
AM-124-K22	RM	1
AM-124-L04	AbiU	1
AM-124-L04	RM	1
AM-124-L05	RM	1
AM-124-L08	AbiU	1
AM-124-L16	AbiU	1
AM-124-M14	AbiU	1
AM-124-M14	RM	1
AM-124-M17	AbiU	1
AM-124-M18	RM	1
AM-124-M20	Zorya	1
AM-124-M20	RM	1
AM-124-M23	AbiU	1
AM-124-N05	RM	1
AM-124-N09	AbiU	1
AM-124-N09	RM	2
AM-124-N16	RM	1
AM-124-N19	Retron	1
AM-124-N19	RM	1
AM-124-N20	AbiU	1
AM-124-N23	AbiU	1
AM-124-N23	RM	1
AM-124-O05	RM	1
AM-124-O11	RM	1
AM-124-O13	PsyrTA	1
AM-124-O17	RM	3
AM-124-P05	AbiU	1
AM-124-P05	RM	1
AM-124-P07	RM	1
AM-124-P10	RM	1
AM-124-P11	RM	2
AM-124-P16	RM	1
AM-127-A03	RM	1
AM-127-A05	RM	2
AM-127-A05	Cas	1
AM-127-A09	RM	1
AM-127-A14	RM	1
AM-127-A21	Cas	1
AM-127-B06	PsyrTA	1
AM-127-B06	RM	1
AM-127-B11	RM	1
AM-127-B14	AbiE	1
AM-127-B14	RM	1
AM-127-B15	Azaca	1
AM-127-B15	Cas	1
AM-127-B22	AbiU	1
AM-127-C05	PsyrTA	1
AM-127-C06	PD-T4-3	1
AM-127-C06	Eleos	1
AM-127-C15	AbiU	1
AM-127-C17	RM	1
AM-127-C21	RM	1
AM-127-D08	SoFic	1
AM-127-D09	AbiU	1
AM-127-D11	DISARM	1
AM-127-E03	AbiU	1
AM-127-E08	RM	2
AM-127-E10	RM	2
AM-127-E13	Eleos	1
AM-127-E13	Cas	1
AM-127-E19	CBASS	1
AM-127-E19	BREX	1
AM-127-E19	RM	4
AM-127-E19	Cas	1
AM-127-E20	RM	1
AM-127-F08	RM	1
AM-127-F16	RM	1
AM-127-F19	PsyrTA	1
AM-127-F20	PsyrTA	1
AM-127-F21	PsyrTA	1
AM-127-G03	AbiU	1
AM-127-G04	RM	1
AM-127-G09	RM	1
AM-127-G10	RM	1
AM-127-G15	Eleos	1
AM-127-G15	RM	2
AM-127-G20	AbiU	1
AM-127-G22	RM	1
AM-127-I09	AbiU	1
AM-127-I09	RM	1
AM-127-I16	AbiU	1
AM-127-I16	PsyrTA	1
AM-127-I17	RM	1
AM-127-I20	PsyrTA	1
AM-127-J09	RM	4
AM-280-D15	AbiU	1
AM-280-D15	RM	1
AM-280-D16	RM	3
AM-280-D17	PD-T4-3	1
AM-280-D17	RM	1
AM-280-D21	RM	1
AM-280-E04	DISARM	1
AM-280-E06	RM	2
AM-280-E11	AbiU	1
AM-280-E11	RM	1
AM-280-E18	dXTPase	1
AM-280-E20	RM	1
AM-280-E23	PsyrTA	1
AM-280-F07	Mokosh	1
AM-280-F08	AbiU	1
AM-280-F08	RM	1
AM-280-F18	AbiE	1
AM-280-F18	Dnd	1
AM-280-F19	AbiU	1
AM-280-F20	AbiU	1
AM-280-F20	RM	1
AM-280-F21	RM	1
AM-280-F22	Mokosh	1
AM-280-G06	AbiU	1
AM-280-G06	RM	1
AM-280-G13	RM	1
AM-280-G15	Dpd	1
AM-280-G16	Gabija	1
AM-280-G16	Kiwa	1
AM-280-G16	AbiZ	1
AM-280-G16	Druantia	1
AM-280-G16	Zorya	1
AM-280-G16	PfiAT	2
AM-280-G16	RM	3
AM-280-G19	PD-T4-3	1
AM-280-G20	AbiU	1
AM-280-G22	RM	1
AM-127-J18	Druantia	1
AM-127-J18	RM	1
AM-127-J23	DISARM	1
AM-127-K09	Lamassu	1
AM-127-K09	Retron	1
AM-127-K09	RM	1
AM-127-K10	Eleos	1
AM-127-K10	SoFic	1
AM-127-K10	RM	4
AM-127-K15	AbiU	1
AM-127-K17	RM	1
AM-127-K18	AbiU	1
AM-127-K20	RM	2
AM-127-K22	RM	1
AM-127-L06	PsyrTA	1
AM-127-L06	RM	2
AM-127-M10	RM	2
AM-127-M18	RM	1
AM-127-M19	AbiU	1
AM-127-M19	RM	1
AM-127-N03	RM	2
AM-127-N04	Dpd	1
AM-127-N04	RM	1
AM-127-N11	Dpd	1
AM-127-N16	RM	1
AM-127-N20	RM	2
AM-127-N21	AbiU	1
AM-127-O03	PsyrTA	1
AM-127-O04	DarTG	1
AM-127-O06	AbiU	1
AM-127-O06	RM	1
AM-127-O08	AbiU	1
AM-127-O11	PsyrTA	1
AM-127-O11	Eleos	1
AM-127-O16	DarTG	1
AM-127-O16	Eleos	1
AM-127-O16	RM	1
AM-127-O16	Cas	1
AM-127-O22	AbiU	1
AM-127-O22	DarTG	1
AM-127-O22	RM	1
AM-127-P14	AbiE	1
AM-127-P14	RM	2
AM-127-P19	AbiU	1
AM-127-P19	RM	1
AM-130-A01	RM	2
AM-130-A01	Cas	1
AM-130-A13	AbiU	1
AM-130-A17	RM	1
AM-130-B02	Eleos	1
AM-130-B02	SoFic	1
AM-130-B02	RM	1
AM-130-B06	SoFic	1
AM-130-B06	RM	1
AM-130-B10	Eleos	1
AM-130-B11	RM	1
AM-130-B18	RM	1
AM-130-B21	AbiU	1
AM-130-B23	RM	2
AM-130-C02	RloC	1
AM-130-C02	AbiP2	1
AM-130-C02	Zorya	1
AM-130-C02	BREX	1
AM-130-C08	Viperin	1
AM-130-C08	RM	2
AM-130-C11	Eleos	1
AM-130-C11	RM	1
AM-130-C14	RosmerTA	1
AM-130-C14	Cas	1
AM-130-C18	RM	1
AM-130-D02	AbiU	1
AM-130-D03	BREX	1
AM-130-D03	RM	1
AM-130-D06	RM	1
AM-130-D13	PsyrTA	1
AM-130-D13	Eleos	1
AM-130-D17	AbiU	1
AM-130-D19	Cas	2
AM-130-E02	RM	2
AM-130-E06	RM	1
AM-130-E08	RM	1
AM-130-F04	RM	1
AM-130-F05	AbiU	1
AM-130-F11	AbiU	1
AM-130-F11	RM	1
AM-130-F13	ShosTA	1
AM-130-F13	RM	1
AM-130-F16	BREX	1
AM-130-F16	RM	1
AM-130-F18	AbiU	1
AM-130-F20	RM	2
AM-130-G09	Zorya	1
AM-130-G09	Eleos	1
AM-130-G16	RM	2
AM-130-G19	PD-T4-3	1
AM-130-G21	BREX	1
AM-130-I21	RM	3
AM-130-I21	Cas	1
AM-130-I23	AbiU	1
AM-130-I23	RM	1
AM-130-J02	PsyrTA	1
AM-130-J02	Eleos	1
AM-130-J02	RM	1
AM-130-J03	RM	1
AM-130-J07	RM	1
AM-130-J09	RM	1
AM-130-K03	RM	2
AM-130-K14	RM	2
AM-130-K22	RM	6
AM-130-L07	DarTG	1
AM-130-L10	RM	1
AM-130-L11	RM	1
AM-130-L22	RM	1
AM-130-M16	RM	2
AM-130-M20	AbiU	1
AM-130-M20	RM	1
AM-130-M21	RM	2
AM-130-M23	RM	1
AM-130-M23	Cas	1
AM-130-N11	AbiU	1
AM-130-N17	RM	1
AM-130-N18	AbiU	1
AM-130-O04	RM	1
AM-130-O05	AbiU	1
AM-130-O07	RM	2
AM-130-O10	Cas	1
AM-130-O14	AbiP2	1
AM-130-O22	Mokosh	1
AM-130-P01	SanaTA	1
AM-130-P09	RM	1
AM-130-P10	RM	1
AM-130-P18	AbiU	1
AM-135-A13	RM	1
AM-135-A18	RM	1
AM-135-A23	SoFic	1
AM-135-A23	RM	3
AM-135-B17	RM	1
AM-135-C07	AbiU	1
AM-135-C07	BREX	1
AM-135-C17	RM	2
AM-135-D15	AbiU	1
AM-135-D15	RM	1
AM-135-D22	AbiU	1
AM-135-D22	RM	2
AM-135-D23	RM	1
AM-135-E02	RM	1
AM-135-G02	AbiU	1
AM-135-G06	PD-Lambda-1	1
AM-135-G06	RM	2
AM-135-G09	SoFic	1
AM-135-G09	RM	1
AM-135-G10	Lamassu	1
AM-135-G10	RM	1
AM-135-G18	Zorya	1
AM-135-G18	RM	2
AM-135-I04	Dnd	1
AM-135-I11	Eleos	1
AM-135-I16	dXTPase	1
AM-135-I16	RM	2
AM-135-I20	RM	1
AM-135-I21	Dnd	1
AM-135-I22	Hhe	1
AM-135-J04	RM	1
AM-135-J08	AbiU	1
AM-135-J10	RM	1
AM-135-J17	AbiU	1
AM-135-J17	RM	1
AM-135-J21	Viperin	1
AM-135-L02	AbiU	1
AM-135-L02	RM	1
AM-135-L03	AbiU	1
AM-135-L09	RM	2
AM-135-L15	AbiU	1
AM-135-L22	AbiU	1
AM-135-L22	RM	1
AM-135-M03	AbiU	1
AM-135-M13	AbiU	1
AM-135-M14	AbiU	1
AM-135-M16	AbiU	1
AM-135-M16	RM	1
AM-135-M21	AbiU	2
AM-135-M21	RM	2
AM-135-N08	AbiU	1
AM-135-N17	AbiU	1
AM-135-N17	RM	2
AM-135-N19	SoFic	1
AM-135-O04	RM	2
AM-135-O06	AbiU	1
AM-135-O10	RM	1
AM-135-P04	RM	2
AM-135-P13	AbiU	1
AM-135-P15	RM	1
AM-135-P18	Cas	1
AM-135-P20	RM	4
AM-138-A03	AbiU	1
AM-138-A03	RM	1
AM-138-A11	RM	2
AM-138-A19	Tiamat	1
AM-138-A19	RM	1
AM-138-A21	AbiU	1
AM-138-B14	PsyrTA	1
AM-138-B21	RM	1
AM-138-B22	BREX	1
AM-138-B23	PD-T4-3	1
AM-138-C06	RM	1
AM-138-C09	dXTPase	1
AM-138-C13	AbiU	1
AM-138-C20	AbiU	1
AM-138-D04	AbiU	1
AM-138-D16	RM	1
AM-138-D18	AbiU	1
AM-138-D18	RM	1
AM-138-D21	RM	1
AM-138-D22	AbiU	1
AM-138-D22	RM	2
AM-138-E05	BREX	1
AM-138-E15	dXTPase	1
AM-138-F22	AbiU	1
AM-138-G03	Zorya	1
AM-138-G15	RM	4
AM-138-G15	Cas	1
AM-138-G23	RM	1
AM-280-I05	ShosTA	1
AM-280-I07	AbiU	1
AM-280-I13	Eleos	1
AM-280-I15	dXTPase	1
AM-280-I21	RM	2
AM-280-I23	RM	1
AM-280-J15	AbiU	1
AM-280-J16	RM	1
AM-280-J21	Zorya	1
AM-280-J21	RM	1
AM-280-J22	RM	1
AM-280-J23	RM	1
AM-280-K03	RM	2
AM-280-K05	RM	1
AM-280-K13	Viperin	1
AM-280-K14	RM	1
AM-280-K19	RM	2
AM-280-K20	AbiU	1
AM-280-K21	RM	1
AM-280-L07	AbiU	1
AM-280-L07	RM	2
AM-280-L10	AbiU	1
AM-138-I04	RM	1
AM-138-I16	RM	1
AM-138-I17	RM	1
AM-138-J13	AbiU	1
AM-138-J21	RM	1
AM-138-J23	RM	1
AM-138-K02	RM	1
AM-138-K06	RM	2
AM-138-L04	AbiU	1
AM-138-L05	RM	1
AM-138-L16	RM	3
AM-138-L20	RM	1
AM-138-M13	PsyrTA	1
AM-138-M13	RM	1
AM-138-M15	Druantia	1
AM-138-N03	AbiU	1
AM-138-N03	RM	1
AM-138-N07	AbiU	1
AM-138-N07	RM	1
AM-138-O10	RM	1
AM-138-O11	AbiU	1
AM-138-O16	RM	1
AM-138-P07	RM	1
AM-138-P13	RM	1
AM-158-A03	AbiU	1
AM-158-A03	RM	1
AM-158-A09	Cas	1
AM-158-A10	RM	2
AM-158-A10	Cas	1
AM-158-A11	AbiU	1
AM-158-A14	AbiU	1
AM-158-A15	Dpd	1
AM-158-A15	RM	2
AM-158-A17	AbiU	1
AM-158-A20	PD-T4-3	1
AM-158-A22	RM	1
AM-158-B04	PsyrTA	1
AM-158-B08	Lamassu	1
AM-158-B11	RM	2
AM-158-C03	RM	1
AM-158-C11	Dpd	1
AM-158-C15	RM	1
AM-158-C23	RM	1
AM-158-D02	RM	1
AM-158-D04	AbiU	1
AM-158-D06	RM	2
AM-158-D17	AbiU	1
AM-158-D17	RM	1
AM-158-E06	RM	1
AM-158-E08	PsyrTA	1
AM-158-E11	Zorya	1
AM-158-E16	AbiU	1
AM-158-E22	AbiU	1
AM-158-E22	RM	2
AM-158-F02	RM	1
AM-158-F03	RM	1
AM-158-F06	AbiU	1
AM-158-F06	ShosTA	1
AM-158-F06	BREX	1
AM-158-F08	PsyrTA	1
AM-158-F20	AbiU	1
AM-158-G05	ShosTA	1
AM-158-G05	RM	1
AM-158-G08	RM	1
AM-158-G09	AbiU	1
AM-158-G10	RM	1
AM-158-G11	AbiU	1
AM-158-G16	RM	1
AM-158-G20	AbiU	1
AM-158-I14	AbiU	1
AM-158-I23	AbiU	1
AM-158-I23	RM	1
AM-158-J02	AbiU	1
AM-158-J05	RM	1
AM-158-J13	Pycsar	1
AM-158-J19	RM	1
AM-158-K03	RM	1
AM-158-K05	AbiU	1
AM-158-K09	AbiU	1
AM-158-K09	RM	2
AM-158-K10	ShosTA	1
AM-158-K13	AbiU	1
AM-158-K14	RM	1
AM-158-K22	Lamassu	1
AM-158-K22	Zorya	1
AM-158-L02	RM	1
AM-158-L09	RM	1
AM-158-M07	AbiU	1
AM-158-M08	DISARM	1
AM-158-M08	AbiU	1
AM-158-M08	RM	1
AM-158-M14	dXTPase	1
AM-158-M14	RM	1
AM-158-M15	RM	1
AM-158-M21	RM	3
AM-158-N06	RM	2
AM-158-N08	RM	2
AM-158-N09	AbiU	1
AM-158-N09	RM	2
AM-158-N11	AbiU	1
AM-158-N13	RM	1
AM-158-N16	AbiU	1
AM-158-N16	RM	2
AM-158-N21	RM	1
AM-158-O05	DISARM	1
AM-158-O07	PsyrTA	1
AM-158-O07	RM	1
AM-158-O16	RM	1
AM-158-O18	Dnd	1
AM-158-O19	RM	3
AM-158-P01	RM	1
AM-158-P02	RM	1
AM-158-P04	RM	1
AM-158-P07	RM	3
AM-158-P08	RM	1
AM-158-P10	RM	1
AM-158-P15	AbiU	1
AM-158-P15	RM	2
AM-158-P19	RM	2
AM-158-P22	RM	1
AM-158-P23	ShosTA	1
AM-161-A04	DISARM	1
AM-161-A05	Dpd	1
AM-161-A05	RM	1
AM-161-A09	Lamassu	1
AM-161-A09	Zorya	1
AM-161-A09	RM	6
AM-161-A11	PsyrTA	1
AM-161-A21	AbiU	1
AM-161-A21	RM	1
AM-161-B03	Retron	1
AM-161-B04	AbiU	1
AM-161-B07	PsyrTA	1
AM-161-B07	Azaca	1
AM-161-B16	Druantia	3
AM-161-B20	RM	2
AM-161-B20	Cas	1
AM-161-B21	RM	1
AM-161-C09	RM	1
AM-161-C13	CBASS	1
AM-161-C13	RM	1
AM-161-C15	RM	1
AM-161-C17	PsyrTA	1
AM-161-D03	AbiU	1
AM-161-D09	RM	1
AM-161-D18	AbiU	1
AM-161-D20	AbiU	1
AM-161-D20	RM	3
AM-161-E09	Mokosh	1
AM-161-E09	RM	1
AM-161-E11	SoFic	1
AM-161-E11	RM	1
AM-161-E14	RM	1
AM-161-E16	Mokosh	1
AM-161-E22	PARIS	1
AM-161-E22	CBASS	2
AM-161-E22	RM	3
AM-161-F02	RM	1
AM-161-F23	RM	2
AM-161-G06	AbiU	1
AM-161-G07	AbiU	1
AM-161-G09	RM	1
AM-161-G15	RM	2
AM-161-G16	AbiU	1
AM-161-G18	AbiU	1
AM-161-G18	RM	1
AM-161-G21	RM	2
AM-161-G22	AbiU	1
AM-161-G22	RM	2
AM-161-I03	RM	1
AM-161-I04	AbiU	1
AM-161-I04	RM	1
AM-161-I08	Cas	1
AM-161-I11	RM	1
AM-161-I13	AbiU	1
AM-161-I14	Septu	1
AM-161-I14	CBASS	1
AM-161-I22	RM	2
AM-161-J08	AbiU	1
AM-161-J08	RM	1
AM-161-J10	AbiU	1
AM-161-J11	Druantia	1
AM-161-J11	RM	3
AM-161-J14	RM	1
AM-161-J21	RM	2
AM-161-K07	RM	1
AM-161-K09	AbiU	1
AM-161-K15	RM	1
AM-161-K19	dXTPase	1
AM-161-K20	AbiU	1
AM-161-L02	PARIS	1
AM-161-L04	RM	1
AM-280-L15	RM	1
AM-280-M06	AbiU	1
AM-280-M07	dXTPase	1
AM-280-M14	RM	2
AM-280-M15	RM	1
AM-280-N04	PsyrTA	1
AM-280-N10	AbiU	1
AM-280-N18	PsyrTA	1
AM-280-O05	AbiU	1
AM-280-O09	AbiU	1
AM-280-O09	RM	1
AM-280-O15	AbiU	1
AM-280-O15	RM	1
AM-280-O20	AbiU	1
AM-280-P11	AbiU	1
AM-280-P14	dXTPase	1
AM-280-P14	DRT	1
AM-280-P14	CapRel	1
AM-280-P14	RM	2
AM-280-P16	RM	1
AM-280-P18	AbiJ	1
AM-161-L11	AbiU	1
AM-161-L11	RM	1
AM-161-M02	AbiU	1
AM-161-M09	RM	1
AM-161-M10	AbiU	1
AM-161-M10	RM	2
AM-161-M21	AbiU	1
AM-161-M21	RM	1
AM-161-N02	RM	1
AM-161-N04	Dpd	1
AM-161-N10	RM	1
AM-161-N13	RM	1
AM-161-N21	AbiU	1
AM-161-N21	RM	1
AM-161-N22	Cas	1
AM-161-O06	AbiU	1
AM-161-O06	RM	1
AM-161-O07	AbiU	1
AM-161-O14	PfiAT	1
AM-161-O14	Cas	2
AM-161-O20	RM	1
AM-161-P09	Uzume	1
AM-161-P15	AbiU	1
AM-161-P16	AbiU	1
AM-161-P21	SoFic	1
AM-164-A04	PsyrTA	1
AM-164-A07	RM	3
AM-164-A11	RM	2
AM-164-A14	AbiU	1
AM-164-A15	PsyrTA	1
AM-164-A15	Dpd	1
AM-164-B05	PsyrTA	1
AM-164-B07	RM	1
AM-164-B11	RM	1
AM-164-B21	AbiU	1
AM-164-C05	AbiU	1
AM-164-C20	AbiU	1
AM-164-D03	RM	1
AM-164-D05	RM	1
